Title,Path,Genres,Primary Genre
1941,midi_songs_2/1941.mid,"Action,Comedy,War",Action
2Fast2Furious,midi_songs_2/2Fast2Furious.mid,"Action,Crime,Thriller",Action
Abyss,midi_songs_2/Abyss.mid,"Action,Adventure,Drama",Action
AdventuresOfFordFairlane,midi_songs_2/AdventuresOfFordFairlane.mid,"Action, Adventure, Comedy ",Action
AirForceOne,midi_songs_2/AirForceOne.mid,"Action,Drama,Thriller",Action
Aliens,midi_songs_2/Aliens.mid,"Action,Adventure,Sci-Fi",Action
Armageddon,midi_songs_2/Armageddon.mid,"Action,Sci-Fi",Action
AroundTheWorldIn80Days,midi_songs_2/AroundTheWorldIn80Days.mid,Action,Action
AssaultonPrecinct13,midi_songs_2/AssaultonPrecinct13.mid,"Action,Crime,Thriller",Action
AustinPowers-TheSpyWhoShaggedMe,midi_songs_2/AustinPowers-TheSpyWhoShaggedMe.mid,Action,Action
Avengers,midi_songs_2/Avengers.mid,Action,Action
Backdraft,midi_songs_2/Backdraft.mid,"Action,Crime,Drama",Action
Batman&Robin,midi_songs_2/Batman&Robin.mid,"Action,Sci-Fi",Action
Batman&Robin-TheEndIsTheBeginningIsTheEnd,midi_songs_2/Batman&Robin-TheEndIsTheBeginningIsTheEnd.mid,Action,Action
Batman-KissFromARose,midi_songs_2/Batman-KissFromARose.mid,"Action,Adventure,Animation",Action
BatmanForever,midi_songs_2/BatmanForever.mid,"Action,Adventure,Fantasy",Action
BatmanReturns,midi_songs_2/BatmanReturns.mid,"Action,Crime,Fantasy",Action
BatmanThemeSong,midi_songs_2/BatmanThemeSong.mid,"Action,Adventure,Animation",Action
BattleBeyondtheStars,midi_songs_2/BattleBeyondtheStars.mid,"Action,Adventure,Sci-Fi",Action
12Monkeys,midi_songs_2/12Monkeys.mid,"Adventure,Drama,Mystery",Adventure
1492ConquestofParadise,midi_songs_2/1492ConquestofParadise.mid,"Adventure, Biography, Drama",Adventure
AdventuresOfBuckarooBanzai,midi_songs_2/AdventuresOfBuckarooBanzai.mid,"Adventure, Comedy, Romance",Adventure
Aladdin,midi_songs_2/Aladdin.mid,"Adventure,Fantasy",Adventure
AlmostFamous,midi_songs_2/AlmostFamous.mid,"Adventure,Comedy,Drama",Adventure
AnAmericanTail,midi_songs_2/AnAmericanTail.mid,"Adventure,Animation,Comedy",Adventure
Apollo13,midi_songs_2/Apollo13.mid,"Adventure,Drama,History",Adventure
Ben-Hur,midi_songs_2/Ben-Hur.mid,"Adventure,Drama,History",Adventure
BenHur-PanemetCircenses_ParadeoftheCharioteers,midi_songs_2/BenHur-PanemetCircenses_ParadeoftheCharioteers.mid,Adventure,Adventure
Bill&TedsBogusJourney,midi_songs_2/Bill&TedsBogusJourney.mid,Adventure,Adventure
Dumbo,midi_songs_2/Dumbo.mid,"Animation,Drama,Family",Animation
Fantasia,midi_songs_2/Fantasia.mid,"Animation,Family,Fantasy",Animation
GoofyMovie,midi_songs_2/GoofyMovie.mid,"Animation, Adventure, Comedy",Animation
HotShots,midi_songs_2/HotShots.mid,"Animation,Short",Animation
InandOut,midi_songs_2/InandOut.mid,"Animation,Family,Short",Animation
Amadeus,midi_songs_2/Amadeus.mid,"Biography,Drama,History",Biography
AnnieGetYourGun,midi_songs_2/AnnieGetYourGun.mid,"Biography,Comedy,Musical",Biography
BornOnThe4thOfJuly,midi_songs_2/BornOnThe4thOfJuly.mid,"Biography, Drama, War",Biography
BoysDontCry,midi_songs_2/BoysDontCry.mid,Biography,Biography
DumbAndDumber,midi_songs_2/DumbAndDumber.mid,Comedy,Comedy
ElectricDream,midi_songs_2/ElectricDream.mid,Comedy,Comedy
EscapeFromNewYork,midi_songs_2/EscapeFromNewYork.mid,"Comedy,Talk-Show",Comedy
