character_name,episode_appearance_count,kill_count,dead
Addam Marbrand,1,0,0
Aeron Greyjoy,2,0,0
Akho,3,0,1
Alliser Thorne,19,1,1
Alton Lannister,3,0,1
Alys Karstark,4,0,0
Amory Lorch,3,1,1
Anguy,6,0,0
Areo Hotah,6,0,1
Armeca,4,0,0
Arthur,2,0,0
Arthur Dayne,1,0,1
Arya Stark,55,11,0
Baby Sam,20,0,0
Balon Greyjoy,4,0,1
Barristan Selmy,25,0,1
Benjen Stark,6,0,1
Beric Dondarrion,12,0,1
Bianca,2,0,0
Biter,3,0,1
Black Lorren,4,0,0
Black Walder Rivers,5,1,1
Bobono,2,0,0
Bowen Marsh,8,1,1
Bran Stark,37,0,0
Brea,1,0,0
Brienne of Tarth,38,3,0
Bronn,34,3,0
Brother Ray,1,0,1
Brynden Tully,7,0,0
Captain of the Archers,1,0,0
Catelyn Stark,26,1,1
Catspaw Assassin,1,0,1
Cersei Lannister,59,7,0
Citadel Maester,1,0,0
Colen of Greenpools,1,0,0
Craster,5,0,1
Daario Naharis,20,6,0
Daenerys Targaryen,58,13,0
Dagmer Cleftjaw,5,0,0
Daisy,3,0,0
Davos Seaworth,38,0,0
Dickon Tarly,5,0,1
Dongo the Giant,3,0,1
Donnel Waynwood,2,0,0
Dontos Hollard,5,0,1
Doran Martell,5,0,1
Doreah,11,1,1
Dothraki Bloodrider #1,2,0,1
Dothraki Bloodrider #2,2,0,1
Drennan,2,0,1
Drogon,30,3,0
Drowned Priest,1,0,0
Eddard Stark,12,4,1
Eddison Tollett,32,0,0
Edmure Tully,8,0,0
Ellaria Sand,13,2,0
Euron Greyjoy,7,3,0
Faceless Man,1,0,0
Farlen,1,0,0
Gared,1,0,1
Gatins,2,0,1
Gendry,21,2,0
Gerold Hightower,1,0,1
Ghost,21,1,0
Gilly,25,0,0
Goldcloak,1,0,0
Goldcloak,1,0,0
Grand Maester Pycelle,30,0,1
Great Master #1,2,0,1
Great Master #2,1,0,0
Great Master #3,1,0,0
Great Master #4,1,0,0
Great Master #5,1,0,0
Great Master #6,1,0,0
Great Master #7,1,0,0
Greatjon Umber,3,0,0
Gregor Clegane,21,7,0
Greizhen mo Ullhor,2,0,1
Grenn,22,1,1
