,name,isMarried,isNoble,numDeadRelations,popularity,isAlive
0,Viserys II Targaryen,0,0,11,0.605351170568561,0
1,Walder Frey,1,1,1,0.8963210702341129,1
2,Addison Hill,0,1,0,0.267558528428093,1
3,Aemma Arryn,1,1,0,0.183946488294314,0
4,Sylva Santagar,1,1,0,0.0434782608695652,1
5,Tommen Baratheon,0,0,5,1.0,1
6,Valarr Targaryen,1,1,0,0.431438127090301,0
7,Viserys I Targaryen,0,0,5,0.678929765886287,0
8,Wilbert,0,1,0,0.00668896321070234,0
9,Wilbert Osgrey,0,1,0,0.020066889632107,1
10,Will,0,0,0,0.163879598662207,0
11,Will (orphan),0,0,0,0.00334448160535117,1
12,Will (squire),0,0,0,0.00334448160535117,1
13,Will (Standfast),0,0,0,0.00334448160535117,1
14,Will (Treb),0,0,0,0.00334448160535117,1
15,Will Humble,0,0,0,0.0133779264214046,1
16,Willam,0,0,0,0.0133779264214046,1
17,Willem Wylde,0,1,0,0.020066889632107,1
18,Willifer,0,1,0,0.00668896321070234,1
19,Willit,0,0,0,0.0100334448160535,1
20,Willis Wode,0,1,0,0.020066889632107,1
21,Willis Fell,0,1,0,0.0234113712374581,1
22,Willow Heddle,0,0,0,0.0334448160535117,1
23,Willum,0,1,0,0.0,1
24,Wolmer,0,0,0,0.00334448160535117,1
25,Willow Witch-eye,0,0,0,0.0501672240802675,0
26,Woth,0,0,0,0.0301003344481605,0
27,Wulfe,0,0,0,0.0234113712374581,1
28,Wyl the Whittler,0,0,0,0.00668896321070234,1
29,Wyl (guard),0,0,0,0.0267558528428093,0
30,Wyl Waynwood,0,0,0,0.0133779264214046,0
31,Wun Weg Wun Dar Wun,0,0,0,0.0501672240802675,1
32,Wylla,0,0,0,0.0267558528428093,1
33,Wynafryd Manderly,0,0,0,0.0568561872909698,1
34,Xhondo,0,0,0,0.020066889632107,1
35,Ygon Farwynd,0,0,0,0.0100334448160535,1
36,Yna,0,0,0,0.020066889632107,1
37,Yohn Farwynd,0,0,0,0.0100334448160535,1
38,Yorkel,0,0,0,0.0,1
39,Yorko Terys,0,0,0,0.0234113712374581,1
40,Yormwell,0,1,0,0.00334448160535117,1
41,Young Henly,0,0,0,0.0133779264214046,0
42,Ysilla,1,0,0,0.040133779264214,1
43,Zarabelo,0,1,0,0.00668896321070234,1
44,Zei,0,0,0,0.0133779264214046,1
45,Zekko,0,0,0,0.0133779264214046,1
46,Zharaq zo Loraq,0,0,0,0.0100334448160535,1
47,Wenda,0,0,0,0.0167224080267558,1
48,Wex Pyke,0,0,0,0.11371237458193902,1
49,Timett,0,1,0,0.0735785953177257,1
50,Joffrey Baratheon,0,0,5,1.0,0
51,Laenor Velaryon,1,1,0,0.19397993311036701,0
52,Leobald Tallhart,1,1,0,0.11036789297658801,0
53,Maegor I Targaryen,0,0,0,0.7056856187290971,0
54,Margaery Tyrell,1,1,3,1.0,1
55,Naerys Targaryen,1,1,12,0.220735785953177,0
56,Quence,0,0,0,0.020066889632107,1
57,Quellon Botley,0,0,0,0.0468227424749163,1
58,Quellon Greyjoy,1,1,0,0.0903010033444816,0
59,Quentyn Blackwood,0,1,0,0.020066889632107,0
60,Quenton Greyjoy,0,0,0,0.060200668896321,1
61,Quhuru Mo,0,0,0,0.040133779264214,1
62,Quickfinger,0,0,0,0.0100334448160535,1
63,Quill,0,0,0,0.0167224080267558,1
64,Quentin Tyrell,0,1,0,0.127090301003344,1
65,Quort,0,0,0,0.0100334448160535,0
66,Qyle,0,0,0,0.0133779264214046,0
67,Rafe,0,0,0,0.00668896321070234,1
68,Racallio Ryndoon,0,0,0,0.0100334448160535,1
69,Ragnor Pyke,0,0,0,0.0100334448160535,1
70,Rainbow Knight,0,0,0,0.00334448160535117,1
71,Randa,0,0,0,0.00334448160535117,1
72,Rast,0,0,0,0.0668896321070234,0
73,Rawney,0,1,0,0.0100334448160535,1
74,Raymar Royce,0,1,0,0.0133779264214046,1
75,Raymond Nayland,0,1,0,0.0167224080267558,1
76,Raymund Tyrell,0,0,0,0.127090301003344,1
77,Red Oarsman,0,0,0,0.0167224080267558,1
78,Red Lamb,0,1,0,0.0,1
79,Redtusk,0,1,0,0.0167224080267558,1
80,Red Rolfe,0,0,0,0.0133779264214046,0
81,Redwyn,0,0,0,0.00668896321070234,1
82,Reynard Webber,0,1,0,0.00668896321070234,1
83,Reysen,0,0,0,0.0234113712374581,1
84,Rhaegel Targaryen,1,1,3,0.0969899665551839,0
85,Rhaena Targaryen (daughter of Daemon),1,1,0,0.14381270903010002,0
86,Rhaena Targaryen (daughter of Aegon III),0,1,0,0.0735785953177257,0
87,Rhaenys Targaryen,1,1,1,0.277591973244147,0
88,Rhaenys Targaryen (daughter of Rhaegar),0,1,10,0.244147157190635,0
89,Rhialta Vance,0,0,0,0.0167224080267558,1
90,Rhaenys Targaryen (daughter of Aemon),1,1,0,0.14381270903010002,0
91,Rhonda Rowan,1,0,0,0.0501672240802675,1
92,Richard Farrow,0,1,0,0.0167224080267558,0
93,Richard Lonmouth,0,1,0,0.0234113712374581,1
94,Rigney,0,1,0,0.00334448160535117,1
95,Rob,0,0,0,0.00334448160535117,1
96,Rickard Tyrell,0,0,0,0.123745819397993,1
97,Robb Reyne,0,1,0,0.00668896321070234,1
98,Robert Ashford,0,1,0,0.0234113712374581,1
99,Robert Brax (son of Flement),0,0,0,0.120401337792642,1
100,Robert Paege,0,1,0,0.0100334448160535,1
101,Robb Stark,0,0,7,1.0,0
102,Robin,0,0,0,0.0167224080267558,1
103,Robert Frey (son of Raymund),0,0,0,0.147157190635451,1
104,Robin Greyjoy,0,0,0,0.0635451505016722,1
105,Robin Hollard,0,0,0,0.0267558528428093,1
106,Rodrik Freeborn,0,0,0,0.0133779264214046,1
107,Roelle,0,0,0,0.0,1
108,Rodrik Stark (son of Beron),1,0,0,0.10033444816053501,1
109,Roger of Pennytree,0,0,0,0.0301003344481605,0
110,Roggo,0,0,0,0.0133779264214046,1
111,Roger Ryswell,0,0,0,0.0468227424749163,1
112,Rolder,0,0,0,0.0,1
113,Roland Crakehall (Kingsguard),0,1,0,0.020066889632107,1
114,Rolfe,0,0,0,0.00334448160535117,1
115,Rolland Darklyn,0,1,0,0.0100334448160535,1
116,Rollam Westerling,0,0,0,0.0434782608695652,1
117,Romny Weaver,0,0,0,0.020066889632107,1
118,Ronald Storm,0,0,0,0.040133779264214,1
119,Ronnel Stout,0,0,0,0.0334448160535117,1
120,Ronnel Harclay,0,0,0,0.0133779264214046,1
121,Roone,0,0,0,0.040133779264214,1
122,Roone (maester),0,1,0,0.0100334448160535,1
123,Roryn Drumm,0,0,0,0.00334448160535117,1
124,Roose Ryswell,0,0,0,0.0301003344481605,1
125,Rosamund Lannister,0,0,0,0.0234113712374581,1
126,Rosey,0,0,0,0.0301003344481605,1
127,Rowan,0,0,0,0.060200668896321,0
128,Rudge,0,0,0,0.0,1
129,Runciter,0,1,0,0.244147157190635,0
130,Rupert Crabb,0,1,0,0.00668896321070234,1
131,Rus,0,0,0,0.0100334448160535,1
